restaurant,street,city,state,zip,street_len,concat
BEL 50,738 N Clark St,Chicago,IL,60654,4,"738 N Clark St, Chicago, IL 60654"
Chicago Taco,1329 W Chicago Ave,Chicago,IL,60622,4,"1329 W Chicago Ave, Chicago, IL 60622"
City Provisions Delicatessen,1818 W Wilson Ave,Chicago,IL,60640,4,"1818 W Wilson Ave, Chicago, IL 60640"
Covo Gyro Market,1482 N Milwaukee Ave,Chicago,IL,60622,4,"1482 N Milwaukee Ave, Chicago, IL 60622"
Gratto Pizzeria and Deli,1341 N Damen Ave,Chicago,IL,60622,4,"1341 N Damen Ave, Chicago, IL 60622"
Indie Burger,1034 West Belmont Avenue,Chicago,IL,60657,4,"1034 West Belmont Avenue, Chicago, IL 60657"
Melt,1840 N Damen Ave,Chicago,IL,60647,4,"1840 N Damen Ave, Chicago, IL 60647"
Shalom Deli,7 N Wells St,Chicago,IL,60606,4,"7 N Wells St, Chicago, IL 60606"
Sweet Baby Ray's,3478 N Clark (between Sheffield Ave & Newport Ave),Chicago,IL,60657,9,"3478 N Clark (between Sheffield Ave & Newport Ave), Chicago, IL 60657"
Urban Union,1421 W Taylor Street,Chicago,IL,60607,4,"1421 W Taylor Street, Chicago, IL 60607"
Windy City Wraps,161 N. Wells St.,Chicago,IL,60606,4,"161 N. Wells St., Chicago, IL 60606"
@spot cafe,901 N. Larrabee,Chicago,IL,60610,3,"901 N. Larrabee, Chicago, IL 60610"
#1 Chop Suey,3338 N Western Ave,Chicago,IL,60618,4,"3338 N Western Ave, Chicago, IL 60618"
100 South Chop House & Grille,100 S York St,Elmhurst,IL,60126,4,"100 S York St, Elmhurst, IL 60126"
168 asian cuisine,8922 1/2 Greenwood Ave,Niles,IL,60714,4,"8922 1/2 Greenwood Ave, Niles, IL 60714"
16 Handles,153 2nd Ave,New York,NY,10003,3,"153 2nd Ave, New York, NY 10003"
2100 Blue Restaurant,2100 Spring Rd,Oak Brook,IL,60523,3,"2100 Spring Rd, Oak Brook, IL 60523"
