"HOURLY COUNT STATIONS+RAMPS:IB (NORTH) I-57, 7-1-2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Time,SI80,I80E,I80E,NI80,I80W,I80W,167E,167E,167W,N167,167W,159E,159E,159W,159W,TRI,SIBL,SIBL,SAG,127,127,119,119,111,N111,111,HALS,IB Halsted,BREAK*ALL,SI80,SI80,SI80,I80E,I80E,I80E,NI80,NI80,I80W,I80W,167E,167E,167W,N167,N167,N167,167W,159E,159E,159W,159W,TRI,TRI,TRI,SIBL,SIBL,SAG,SAG,SAG,127,127,119,119,111,N111,N111,N111,111,HALS,HALS,HALS,HALS,HALS,IB Halsted,57FD,57FD,57R2,57R2,57R2,97TH,97TH,57RY,57RY,57RY,----*----
,, ,3LCS,1EXIT,2ENT,2LCS,1EXIT,1ENT,1EXIT,1ENT,1EXIT,3LCS,1ENT,1EXIT,1ENT,1EXIT,1ENT,3LCS,1EXIT,1ENT,3LCS,1EXIT,1ENT,1EXIT,1ENT,1EXIT,3LCS,1ENT,1EXIT,*ENT,******,L1,L2,L3,EXIT1,ENT1,ENT2,L1,L2,EXIT1,ENT1,EXIT1,ENT1,EXIT1,L1,L2,L3,ENT1,EXIT1,ENT1,EXIT1,ENT1,L1,L2,L3,EXIT1,ENT1,L1,L2,L3,EXIT1,ENT1,EXIT1,ENT1,EXIT1,L1,L2,L3,ENT1,EXIT1,*ENT,L1,L2,L3,*ENT,EXIT1,EXIT2,EXIT1,EXIT2,EXIT3,L1,L2,L1,L2,L3,------
,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,******, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,------
,,01:00,512,228,310,214,68,52,41,35,68,495,123,41,60,53,36,714,81,126,825,136,228,64,125,99,915,134,146,341,******,151,247,114,228,141,169,136,78,68,52,41,35,68,92,245,158,123,41,60,53,36,123,395,196,81,126,194,349,282,136,228,64,125,99,214,464,237,134,146,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,------
,,02:00,299,136,89,114,40,25,26,21,18,257,78,33,29,38,22,385,44,113,464,52,147,35,90,60,556,84,75,191,******,56,150,93,136,10,79,66,48,40,25,26,21,18,37,117,103,78,33,29,38,22,52,236,97,44,113,83,227,154,52,147,35,90,60,100,286,170,84,75,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,------
,,03:00,291,123,85,95,39,21,17,24,31,224,59,25,17,21,12,303,35,76,358,59,118,23,60,41,417,61,70,148,******,71,132,88,123,0,85,40,55,39,21,17,24,31,20,116,88,59,25,17,21,12,28,194,81,35,76,61,167,130,59,118,23,60,41,61,220,136,61,70,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,------
,,04:00,406,174,476,118,60,14,16,22,35,295,42,22,42,34,21,388,33,118,465,40,133,24,57,33,536,81,61,137,******,97,188,121,174,360,116,47,71,60,14,16,22,35,34,162,99,42,22,42,34,21,45,233,110,33,118,97,224,144,40,133,24,57,33,93,280,163,81,61,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,------
,,05:00,883,339,1581,384,130,34,43,83,97,741,109,32,102,35,47,930,55,186,1030,78,253,24,104,58,1176,158,64,257,******,268,370,245,339,1294,287,218,166,130,34,43,83,97,164,370,207,109,32,102,35,47,232,465,233,55,186,312,447,271,78,253,24,104,58,350,535,291,158,64,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,------
,,06:00,2384,781,918,1644,342,81,99,303,211,2737,267,110,445,125,170,3470,164,492,3713,201,575,86,417,145,4124,549,124,780,******,1020,771,593,781,0,918,1062,582,342,81,99,303,211,1155,1030,552,267,110,445,125,170,1511,1293,666,164,492,1689,1281,743,201,575,86,417,145,1869,1483,772,549,124,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,------
,,07:00,3294,1105,1371,2056,593,139,166,370,354,3604,352,211,526,182,367,4455,296,569,4765,408,758,168,416,351,5023,613,202,1105,******,1463,1059,772,1105,60,1311,1341,715,593,139,166,370,354,1502,1291,811,352,211,526,182,367,1931,1579,945,296,569,2048,1567,1150,408,758,168,416,351,2054,1735,1234,613,202,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,------
,,08:00,3499,1233,3528,1782,727,180,212,353,414,3295,448,246,421,202,334,4131,362,479,4279,388,694,253,475,465,4284,557,313,1254,******,1551,1146,802,1233,2173,1355,1164,618,727,180,212,353,414,1318,1193,784,448,246,421,202,334,1745,1433,953,362,479,1779,1429,1071,388,694,253,475,465,1795,1504,985,557,313,0,0,0,0,1254,0,0,0,0,0,0,0,0,0,0,------
,,09:00,3019,1110,2654,1352,635,192,168,246,354,2710,444,198,387,202,261,3574,317,497,3848,346,843,260,455,483,4071,616,404,1329,******,1304,1046,669,1110,1488,1166,899,453,635,192,168,246,354,1019,1040,651,444,198,387,202,261,1465,1287,822,317,497,1595,1290,963,346,843,260,455,483,1670,1438,963,616,404,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,------
,,10:00,2578,965,2560,1088,533,169,151,218,266,2276,417,168,362,219,203,3116,276,476,3341,309,812,272,561,442,3686,553,450,1199,******,1054,932,592,965,1594,966,697,391,533,169,151,218,266,798,902,576,417,168,362,219,203,1204,1172,740,276,476,1346,1151,844,309,812,272,561,442,1440,1326,920,553,450,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,------
,,11:00,2294,915,1528,904,509,185,178,185,263,1889,316,179,366,208,165,2616,237,495,2936,280,757,253,490,373,3297,539,466,1091,******,892,863,539,915,720,808,572,332,509,185,178,185,263,581,789,519,316,179,366,208,165,859,1092,665,237,495,1100,1050,786,280,757,253,490,373,1239,1247,811,539,466,0,0,0,0,1091,0,0,0,0,0,0,0,0,0,0,------
,,12:00,2408,933,1269,920,511,176,145,173,280,1910,326,179,346,246,180,2669,300,452,2839,323,753,274,459,409,3051,564,530,952,******,922,889,597,933,459,810,571,349,511,176,145,173,280,575,786,549,326,179,346,246,180,928,1048,693,300,452,1015,1039,785,323,753,274,459,409,1084,1165,802,564,530,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,------
,,13:00,2436,974,1256,904,553,187,191,158,297,1867,343,185,335,244,190,2583,252,508,2848,357,771,274,513,421,3074,591,416,1179,******,900,943,593,974,424,832,561,343,553,187,191,158,297,559,773,535,343,185,335,244,190,840,1049,694,252,508,981,1060,807,357,771,274,513,421,1123,1204,747,591,416,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,------
,,14:00,2499,1010,1293,942,562,174,199,183,277,1930,400,168,340,251,212,2718,223,464,2966,417,731,264,583,422,3176,630,418,1187,******,897,993,609,1010,477,816,585,357,562,174,199,183,277,614,773,543,400,168,340,251,212,948,1061,709,223,464,1066,1047,853,417,731,264,583,422,1154,1243,779,630,418,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,------
,,15:00,2494,965,1232,1031,572,201,189,156,343,1914,381,199,333,215,212,2572,258,473,2829,376,870,275,545,390,3175,617,450,1250,******,914,920,660,965,436,796,621,410,572,201,189,156,343,586,792,536,381,199,333,215,212,855,1054,663,258,473,979,1039,811,376,870,275,545,390,1130,1250,795,617,450,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,------
,,16:00,2789,1059,1388,1236,623,224,211,162,432,2154,355,244,348,231,243,2755,336,507,2898,419,910,326,544,442,3170,587,488,1315,******,1054,1008,727,1059,479,909,766,470,623,224,211,162,432,680,870,604,355,244,348,231,243,887,1087,781,336,507,982,1073,843,419,910,326,544,442,1122,1187,861,587,488,0,0,0,0,1315,0,0,0,0,0,0,0,0,0,0,------
,,17:00,2838,1142,1373,1264,733,232,203,157,440,2246,386,261,399,248,260,2918,310,527,3150,448,769,317,523,494,3130,522,437,1198,******,1033,1086,719,1142,453,920,799,465,733,232,203,157,440,721,872,653,386,261,399,248,260,994,1117,807,310,527,1133,1127,890,448,769,317,523,494,1127,1211,792,522,437,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,------
,,18:00,2931,1129,1507,1346,694,222,212,215,482,2320,352,210,344,223,243,2987,276,497,3202,493,850,349,516,535,3190,573,434,1207,******,1101,1083,747,1129,555,952,861,485,694,222,212,215,482,761,937,622,352,210,344,223,243,1031,1176,780,276,497,1159,1120,923,493,850,349,516,535,1166,1216,808,573,434,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,------
,,19:00,2401,962,1290,1070,538,197,172,168,355,2018,340,170,363,169,210,2710,240,453,2947,428,740,316,424,480,2901,534,429,1223,******,917,937,547,962,463,827,673,397,538,197,172,168,355,646,813,559,340,170,363,169,210,902,1060,748,240,453,1029,1046,872,428,740,316,424,480,1088,1142,671,534,429,0,0,0,0,1223,0,0,0,0,0,0,0,0,0,0,------
,,20:00,1944,782,1086,816,390,139,145,118,288,1626,296,167,311,160,153,2194,242,410,2363,315,641,257,419,372,2502,442,400,1063,******,714,787,443,782,395,691,495,321,390,139,145,118,288,494,686,446,296,167,311,160,153,693,900,601,242,410,807,861,695,315,641,257,419,372,838,1050,614,442,400,0,0,0,0,1063,0,0,0,0,0,0,0,0,0,0,------
,,21:00,1601,610,931,656,269,97,116,115,227,1356,256,106,253,135,115,1910,218,312,2129,302,600,277,423,310,2249,445,357,919,******,591,623,387,610,373,558,390,266,269,97,116,115,227,398,598,360,256,106,253,135,115,543,866,501,218,312,693,819,617,302,600,277,423,310,734,951,564,445,357,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,------
,,22:00,1444,578,911,662,227,99,108,101,204,1316,289,106,289,156,107,1925,219,360,2065,307,559,231,393,306,2169,432,332,880,******,537,586,321,578,393,518,408,254,227,99,108,101,204,377,574,365,289,106,289,156,107,571,837,517,219,360,675,795,595,307,559,231,393,306,687,948,534,432,332,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,------
